1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:new_sent	1_anno_scriptorium:norm	1_anno_scriptorium:orig	1_anno_scriptorium:pos	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lang	2_anno_scriptorium:lemma	2_anno_scriptorium:new_sent	2_anno_scriptorium:norm	2_anno_scriptorium:orig	2_anno_scriptorium:pos
10589592	ⲡⲉⲕ	nmod:poss	ⲡⲉⲕ	'NULL'	ⲡⲉⲕ	'NULL'	PPOS	10589596	ϩⲏⲧ	obj	'NULL'	ϩⲏⲧ	'NULL'	ϩⲏⲧ	'NULL'	N
10589812	ⲡⲉⲕ	nmod:poss	ⲡⲉⲕ	'NULL'	ⲡⲉⲕ	'NULL'	PPOS	10589816	ϩⲏⲧ	obj	'NULL'	ϩⲏⲧ	'NULL'	ϩⲏⲧ	'NULL'	N
10590092	ⲕ	nsubj	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERS	10590095	ϩⲣⲟϣ	root	'NULL'	ϩⲣⲟϣ	'NULL'	ϩⲣⲟϣ	'NULL'	V
10591152	ⲡⲉⲕ	nmod:poss	ⲡⲉⲕ	'NULL'	ⲡⲉⲕ	'NULL'	PPOS	10591156	ϩⲏⲧ	obj	'NULL'	ϩⲏⲧ	'NULL'	ϩⲏⲧ	'NULL'	N
10594129	ⲕ	obl	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERO	10594132	ϩⲛ̅	case	'NULL'	ϩⲛ	'NULL'	ϩⲛ	'NULL'	PREP
10594170	ⲡⲉⲕ	nmod:poss	ⲡⲉⲕ	'NULL'	ⲡⲉⲕ	'NULL'	PPOS	10594174	ϩⲟ̅	obj	'NULL'	ϩⲟ	'NULL'	ϩⲟ	'NULL'	N
10595325	ⲡⲉⲕ	nmod:poss	ⲡⲉⲕ	'NULL'	ⲡⲉⲕ	'NULL'	PPOS	10595329	ϩⲏⲧ	obj	'NULL'	ϩⲏⲧ	'NULL'	ϩⲏⲧ	'NULL'	N
10596237	ⲡⲉⲕ	nmod:poss	ⲡⲉⲕ	'NULL'	ⲡⲉⲕ	'NULL'	PPOS	10596241	ϩⲏⲧ	obl	'NULL'	ϩⲏⲧ	'NULL'	ϩⲏⲧ	'NULL'	N
10596367	ⲡⲉⲕ	nmod:poss	ⲡⲉⲕ	'NULL'	ⲡⲉⲕ	'NULL'	PPOS	10596371	ϩⲏⲧ	conj	'NULL'	ϩⲏⲧ	'NULL'	ϩⲏⲧ	'NULL'	N
10597218	ⲡⲉⲕ	nmod:poss	ⲡⲉⲕ	'NULL'	ⲡⲉⲕ	'NULL'	PPOS	10597222	ϩⲏⲧ	nmod	'NULL'	ϩⲏⲧ	'NULL'	ϩⲏⲧ	'NULL'	N
10598623	ⲛ̅ⲧⲟⲕ	dislocated	ⲛⲧⲟⲕ	'NULL'	ⲛⲧⲟⲕ	'NULL'	PPERI	10598628	ϩⲱⲱ	obl:npmod	'NULL'	ϩⲱⲱ	'NULL'	ϩⲱⲱ	'NULL'	IMOD
10600129	ⲧⲉⲕ	nmod:poss	ⲡⲉⲕ	'NULL'	ⲧⲉⲕ	'NULL'	PPOS	10600133	ϩⲃ̅ⲥⲱ	nsubj	'NULL'	ϩⲃⲥⲱ	'NULL'	ϩⲃⲥⲱ	'NULL'	N
10600940	ⲡⲕ̅	nmod:poss	ⲡⲉⲕ	'NULL'	ⲡⲉⲕ	'NULL'	PPOS	10600944	ϩⲏⲧ	nmod	'NULL'	ϩⲏⲧ	'NULL'	ϩⲏⲧ	'NULL'	N
10603286	ⲕ	nsubj	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERS	10603289	ϩⲓ̈ⲟⲩⲉ	advcl	'NULL'	ϩⲓⲟⲩⲉ	'NULL'	ϩⲓⲟⲩⲉ	'NULL'	V
10603384	ⲕ	obj	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERO	10603387	ϩⲛ̅	case	'NULL'	ϩⲛ	'NULL'	ϩⲛ	'NULL'	PREP
10603675	Ⲁⲛⲟⲕ	root	ⲁⲛⲟⲕ	true	ⲁⲛⲟⲕ	'NULL'	PPERI	10603682	ϩⲱⲱ	obl:npmod	'NULL'	ϩⲱⲱ	'NULL'	ϩⲱⲱ	'NULL'	IMOD
10603784	ⲁⲛⲟⲕ	parataxis	ⲁⲛⲟⲕ	'NULL'	ⲁⲛⲟⲕ	'NULL'	PPERI	10603789	ϩⲱ	obl:npmod	'NULL'	ϩⲱⲱ	'NULL'	ϩⲱ	'NULL'	IMOD
