1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:new_sent	1_anno_scriptorium:norm	1_anno_scriptorium:orig	1_anno_scriptorium:pos	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lang	2_anno_scriptorium:lemma	2_anno_scriptorium:new_sent	2_anno_scriptorium:norm	2_anno_scriptorium:orig	2_anno_scriptorium:pos
3339260	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	3339262	ϩⲱⲛ	acl	'NULL'	ϩⲱⲛ	'NULL'	ϩⲱⲛ	ϩⲱⲛ	V
3339634	ϭⲉⲉⲧ	xcomp	ϭⲱ	'NULL'	ϭⲉⲉⲧ	ϭⲉⲉⲧ	VSTAT	3339636	ϩⲓϫⲙ	case	'NULL'	ϩⲓϫⲛ	'NULL'	ϩⲓϫⲙ	ϩⲓϫⲙ	PREP
3339798	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3339800	ⲉ	nmod	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3339805	ⲧ	nsubj	ⲡ	'NULL'	ⲧ	ⲧ	ART	3339807	ϩⲓϫⲛ	aux	'NULL'	ϩⲓϫⲛ	'NULL'	ϩⲓϫⲛ	ϩⲓϫⲛ	PREP
3340115	ⲧ	det	ⲡ	'NULL'	ⲧ	ⲧ	ART	3340118	ϩⲱⲡ	obl	'NULL'	ϩⲱⲡ	'NULL'	ϩⲱⲡ	ϩⲱⲡ	N
3340203	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3340205	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3340470	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3340474	ⲁⲗⲁⲥⲥⲁ	obl	Greek	ϩⲁⲗⲁⲥⲥⲁ	'NULL'	ϩⲁⲗⲁⲥⲥⲁ	ⲁⲗⲁⲥⲥⲁ	N
3341002	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3341005	ⲟⲧⲉ	obl	'NULL'	ϩⲟⲧⲉ	'NULL'	ϩⲟⲧⲉ	ⲟⲧⲉ	N
3341533	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	3341536	ϩⲛ	case	'NULL'	ϩⲛ	'NULL'	ϩⲛ	ϩⲛ	PREP
3341561	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3341563	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3341972	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3341974	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3342004	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3342006	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3342564	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3342566	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3342613	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3342616	ⲉⲗⲡⲉ	nmod	'NULL'	ϩⲉⲗⲡⲉ	'NULL'	ϩⲉⲗⲡⲉ	ⲉⲗⲡⲉ	N
3342645	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3342647	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3343161	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3343163	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3343188	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3343190	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3343711	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3343713	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3343791	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3343793	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3344054	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3344056	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3344084	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3344086	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3344214	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3344216	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3344238	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3344240	ⲉ	nmod	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3344297	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3344299	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3344333	ⲱϩⲧ	advcl	ⲱϩⲧ	'NULL'	ⲱϩⲧ	ⲱϩⲧ	V	3344335	ϩⲉⲛ	det	'NULL'	ⲟⲩ	true	ϩⲉⲛ	ϩⲉⲛ	ART
3344387	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3344389	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3344426	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3344428	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3344445	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3344449	ⲁⲗⲁⲥⲥⲁ	obj	Greek	ϩⲁⲗⲁⲥⲥⲁ	'NULL'	ϩⲁⲗⲁⲥⲥⲁ	ⲁⲗⲁⲥⲥⲁ	N
3344454	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3344456	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3344487	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3344489	ⲉ	nmod	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3344602	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	3344604	ϩⲛ	case	'NULL'	ϩⲛ	'NULL'	ϩⲛ	ϩⲛ	PREP
3344705	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	3344707	ϩⲱⲡ	acl	'NULL'	ϩⲱⲡ	'NULL'	ϩⲱⲡ	ϩⲱⲡ	V
3345119	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3345121	ⲉ	nmod	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3345338	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3345340	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3346113	ϣⲏⲧ	det	ϣⲏⲧ	'NULL'	ϣⲏⲧ	ϣⲏⲧ	PPOS	3346117	ϩⲙⲉϣ	nsubj	'NULL'	ϩⲙⲉϣ	'NULL'	ϩⲙⲉϣ	ϩⲙⲉϣ	N
3346957	ⲣⲏⲧ	acl	ⲣⲟⲉⲓⲥ	'NULL'	ⲣⲏⲧ	ⲣⲏⲧ	VSTAT	3346959	ϩⲓϫⲛ	case	'NULL'	ϩⲓϫⲛ	'NULL'	ϩⲓϫⲛ	ϩⲓϫⲛ	PREP
3347057	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3347060	ⲉ	nsubj	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3347082	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3347085	ⲉ	nsubj	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3347123	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3347127	ⲗⲟϥ	conj	'NULL'	ϩⲗⲟϥ	'NULL'	ϩⲗⲟϥ	ⲗⲟϥ	N
3347729	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3347731	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3347967	ⲡⲱⲧ	acl	ⲡⲱⲧ	'NULL'	ⲡⲱⲧ	ⲡⲱⲧ	V	3347969	ϩⲏⲧ	obl:npmod	'NULL'	ϩⲏⲧ	'NULL'	ϩⲏⲧ	ϩⲏⲧ	N
3348607	ϩⲏⲧ	nsubj	ϩⲏⲧ	'NULL'	ϩⲏⲧ	ϩⲏⲧ	N	3348609	ϩⲟⲣϣ	root	'NULL'	ϩⲣⲟϣ	'NULL'	ϩⲟⲣϣ	ϩⲟⲣϣ	VSTAT
3348764	ϩⲏⲧ	obl	ϩⲏⲧ	'NULL'	ϩⲏⲧ	ϩⲏⲧ	N	3348766	ϩⲓϫⲛ	case	'NULL'	ϩⲓϫⲛ	'NULL'	ϩⲓϫⲛ	ϩⲓϫⲛ	PREP
3349487	ϫⲓⲙⲟⲉⲓⲧ	root	ϫⲓⲙⲟⲉⲓⲧ	true	ϫⲓⲙⲟⲉⲓⲧ	ϫⲓⲙⲟⲉⲓⲧ	V	3349491	ϩⲏⲧ	obj	'NULL'	ϩⲏⲧ	'NULL'	ϩⲏⲧ	ϩⲏⲧ	N
3349853	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3349855	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3350605	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3350607	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3351072	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	3351074	ϩⲉⲧⲁⲍⲉ	acl	Greek	ϩⲉⲧⲁⲍⲉ	'NULL'	ϩⲉⲧⲁⲍⲉ	ϩⲉⲧⲁⲍⲉ	V
3351576	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3351578	ⲉ	root	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3352075	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3352077	ⲉ	root	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3353172	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3353176	ⲩⲡⲟⲙⲟⲛⲏ	nsubj	Greek	ϩⲩⲡⲟⲙⲟⲛⲏ	'NULL'	ϩⲩⲡⲟⲙⲟⲛⲏ	ⲩⲡⲟⲙⲟⲛⲏ	N
3353699	ⲉⲑ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲑ	CREL	3353701	ⲟⲟⲩ	acl	'NULL'	ϩⲟⲟⲩ	'NULL'	ϩⲟⲟⲩ	ⲟⲟⲩ	VSTAT
3353754	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	3353756	ϩⲁ	case	'NULL'	ϩⲁ	'NULL'	ϩⲁ	ϩⲁ	PREP
3353805	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	3353808	ϩⲏⲡ	acl	'NULL'	ϩⲱⲡ	'NULL'	ϩⲏⲡ	ϩⲏⲡ	VSTAT
3353857	ⲡⲉⲧ	obl	ⲡⲉⲧ	'NULL'	ⲡⲉⲧ	ⲡⲉⲧ	N	3353859	ϩⲏⲡ	advcl	'NULL'	ϩⲱⲡ	'NULL'	ϩⲏⲡ	ϩⲏⲡ	VSTAT
3353864	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3353866	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3354577	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3354579	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3355149	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	3355151	ϩⲓⲧⲟⲩⲱ	case	'NULL'	ϩⲓⲧⲟⲩⲛ	'NULL'	ϩⲓⲧⲟⲩⲱ	ϩⲓⲧⲟⲩⲱ	PREP
3356023	ⲁⲧ ϩⲏⲧ	nsubj	ⲁⲧϩⲏⲧ	'NULL'	ⲁⲧϩⲏⲧ	ⲁⲧϩⲏⲧ	N	3356027	ϩⲙ	case	'NULL'	ϩⲛ	'NULL'	ϩⲙ	ϩⲙ	PREP
3356372	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	3356374	ϩⲓ	case	'NULL'	ϩⲓ	'NULL'	ϩⲓ	ϩⲓ	PREP
3356408	ⲧ	det	ⲡ	'NULL'	ⲧ	ⲧ	ART	3356411	ϩⲟⲧⲉ	obl	'NULL'	ϩⲟⲧⲉ	'NULL'	ϩⲟⲧⲉ	ϩⲟⲧⲉ	N
3356915	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	3356917	ϩⲓⲧⲟⲩⲱ	case	'NULL'	ϩⲓⲧⲟⲩⲛ	'NULL'	ϩⲓⲧⲟⲩⲱ	ϩⲓⲧⲟⲩⲱ	PREP
3356934	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	3356936	ϩⲏⲛ	acl	'NULL'	ϩⲱⲛ	'NULL'	ϩⲏⲛ	ϩⲏⲛ	VSTAT
