1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:new_sent	1_anno_scriptorium:norm	1_anno_scriptorium:orig	1_anno_scriptorium:pos	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lang	2_anno_scriptorium:lemma	2_anno_scriptorium:new_sent	2_anno_scriptorium:norm	2_anno_scriptorium:orig	2_anno_scriptorium:pos
2847347	ⲡ	det	ⲡ	'NULL'	ⲡ	ⲡ	ART	2847351	ϩⲁⲕⲗϥ	conj	'NULL'	ϩⲁⲕⲗϥ	'NULL'	ϩⲁⲕⲗϥ	ϩⲁⲕⲗϥ	N
2847716	ⲡ	det	ⲡ	'NULL'	ⲡ	ⲡ	ART	2847719	ϩⲟⲩⲛ	advcl	'NULL'	ϩⲟⲩⲛ	'NULL'	ϩⲟⲩⲛ	ϩⲟⲩⲛ	N
2850304	ⲡ	det	ⲡ	'NULL'	ⲡ	ⲡ	ART	2850307	ϩⲣⲃ	obl	'NULL'	ϩⲣⲃ	'NULL'	ϩⲣⲃ	ϩⲣⲃ	N
2850360	ⲡ	det	ⲡ	'NULL'	ⲡ	ⲡ	ART	2850363	ϩⲣⲃ	nmod	'NULL'	ϩⲣⲃ	'NULL'	ϩⲣⲃ	ϩⲣⲃ	N
2850416	ⲫ	det	ⲡ	'NULL'	ⲡ	ⲫ	ART	2850420	ⲣⲉ	dislocated	'NULL'	ϩⲣⲉ	'NULL'	ϩⲣⲉ	ⲣⲉ	N
2850498	ⲡ	det	ⲡ	'NULL'	ⲡ	ⲡ	ART	2850501	ϩⲣⲃ	nsubj	'NULL'	ϩⲣⲃ	'NULL'	ϩⲣⲃ	ϩⲣⲃ	N
2850637	ⲡ	det	ⲡ	'NULL'	ⲡ	ⲡ	ART	2850640	ϩⲣⲃ	obl	'NULL'	ϩⲣⲃ	'NULL'	ϩⲣⲃ	ϩⲣⲃ	N
2850668	ⲡ	det	ⲡ	'NULL'	ⲡ	ⲡ	ART	2850672	ϩⲣⲃ	nsubj	'NULL'	ϩⲣⲃ	'NULL'	ϩⲣⲃ	ϩⲣⲃ	N
2850704	ⲡ	det	ⲡ	'NULL'	ⲡ	ⲡ	ART	2850708	ϩⲣⲃ	nsubj	'NULL'	ϩⲣⲃ	'NULL'	ϩⲣⲃ	ϩⲣⲃ	N
2850825	ⲡ	det	ⲡ	'NULL'	ⲡ	ⲡ	ART	2850828	ϩⲣⲃ	nsubj	'NULL'	ϩⲣⲃ	'NULL'	ϩⲣⲃ	ϩⲣⲃ	N
2850853	ⲡ	det	ⲡ	'NULL'	ⲡ	ⲡ	ART	2850857	ϩⲣⲃ	nsubj	'NULL'	ϩⲣⲃ	'NULL'	ϩⲣⲃ	ϩⲣⲃ	N
2850990	ⲡ	det	ⲡ	'NULL'	ⲡ	ⲡ	ART	2850993	ϩⲓⲉⲣⲉⲩⲥ	nsubj	Greek	ϩⲓⲉⲣⲉⲩⲥ	'NULL'	ϩⲓⲉⲣⲉⲩⲥ	ϩⲓⲉⲣⲉⲩⲥ	N
2851048	ⲡ	det	ⲡ	'NULL'	ⲡ	ⲡ	ART	2851052	ϩⲓⲉⲣⲉⲩⲥ	nsubj	Greek	ϩⲓⲉⲣⲉⲩⲥ	'NULL'	ϩⲓⲉⲣⲉⲩⲥ	ϩⲓⲉⲣⲉⲩⲥ	N
