1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:new_sent	1_anno_scriptorium:norm	1_anno_scriptorium:pos	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lemma	2_anno_scriptorium:new_sent	2_anno_scriptorium:norm	2_anno_scriptorium:pos
985162	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	985165	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
985431	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	985436	ⲁⲗⲁⲥⲥⲁ	obl	ϩⲁⲗⲁⲥⲥⲁ	'NULL'	ϩⲁⲗⲁⲥⲥⲁ	N
985455	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	985460	ϩⲓϫⲱ	case	ϩⲓϫⲛ	'NULL'	ϩⲓϫⲱ	PREP
985890	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	985896	ϩⲓ̅ϫⲱ	case	ϩⲓϫⲛ	'NULL'	ϩⲓϫⲱ	PREP
989179	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	989184	ϩⲛ̅	case	ϩⲛ	'NULL'	ϩⲛ	PREP
990064	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	990067	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
991932	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	991936	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
993515	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	993520	ϩⲛ̅	case	ϩⲛ	'NULL'	ϩⲛ	PREP
993997	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	994000	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
994105	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	994108	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
996260	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	996266	ϩⲓϫⲛ̅	case	ϩⲓϫⲛ	'NULL'	ϩⲓϫⲛ	PREP
996889	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	996892	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
999795	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	999798	ⲉ	root	ϩⲉ	'NULL'	ϩⲉ	N
999893	ϣⲁⲛ	case	ϣⲁⲛⲧⲉ	'NULL'	ϣⲁⲛⲧ	ALIM	999896	ϩⲧⲏ	advcl	ϩⲏⲧ	'NULL'	ϩⲧⲏ	N
1616662	ⲧ	det	ⲡ	'NULL'	ⲧ	ART	1616665	ϩⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1617310	ϭⲱϣⲧ	advcl	ϭⲱϣⲧ	'NULL'	ϭⲱϣⲧ	V	1617313	ϩⲏⲧ	obl:npmod	ϩⲏⲧ	'NULL'	ϩⲏⲧ	N
1619360	ⲥⲣⲓⲧ	advcl	ⲥⲣⲓⲧ	'NULL'	ⲥⲣⲓⲧ	V	1619363	ϩⲛ	case	ϩⲛ	'NULL'	ϩⲛ	PREP
1619480	ⲥⲣⲓⲧ	parataxis	ⲥⲣⲓⲧ	'NULL'	ⲥⲣⲓⲧ	V	1619483	ϩⲛ	case	ϩⲛ	'NULL'	ϩⲛ	PREP
1619799	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1619802	ϩⲓϫⲛ	case	ϩⲓϫⲛ	'NULL'	ϩⲓϫⲛ	PREP
1619865	ⲉⲧ	case	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1619870	ϩⲓϫⲛ	case	ϩⲓϫⲛ	'NULL'	ϩⲓϫⲛ	PREP
1620991	ⲧ	det	ⲡ	'NULL'	ⲧ	ART	1620994	ϩⲉ	conj	ϩⲉ	'NULL'	ϩⲉ	N
1621504	ⲧ	det	ⲡ	'NULL'	ⲧ	ART	1621507	ϩⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1623671	ⲉⲓⲱⲧ	nmod	ⲉⲓⲱⲧ	'NULL'	ⲉⲓⲱⲧ	N	1623674	ϩⲛ	case	ϩⲛ	'NULL'	ϩⲛ	PREP
1624303	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1624308	ϩⲟⲣϭ	acl	ϩⲱⲣϭ	'NULL'	ϩⲟⲣϭ	VSTAT
1624657	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1624660	ϩⲏⲛ	csubj	ϩⲱⲛ	'NULL'	ϩⲏⲛ	VSTAT
1625086	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1625089	ϩⲏⲛ	csubj	ϩⲱⲛ	'NULL'	ϩⲏⲛ	VSTAT
1625124	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1625127	ϩⲏⲛ	acl	ϩⲱⲛ	'NULL'	ϩⲏⲛ	VSTAT
1625552	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1625557	ϩⲓϫⲱ	acl	ϩⲓϫⲛ_ⲛⲧⲟ	'NULL'	ϩⲓϫⲱ	PREP_PPERO
1626298	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1626301	ϩⲏⲛ	acl	ϩⲱⲛ	'NULL'	ϩⲏⲛ	VSTAT
1626444	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1626447	ϩⲏⲡ	acl	ϩⲱⲡ	'NULL'	ϩⲏⲡ	VSTAT
1626673	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1626676	ϩⲏⲛ	acl	ϩⲱⲛ	'NULL'	ϩⲏⲛ	VSTAT
1626966	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1626969	ϩⲙⲟⲟⲥ	acl	ϩⲙⲟⲟⲥ	'NULL'	ϩⲙⲟⲟⲥ	V
